iteration,filters,dropout,learning_rate,accuracy 
0,32,0.31795327319875877,0.0018662266976517971,0.4925000071525574
1,64,0.4854651042004118,0.0014135935551752314,0.4925000071525574
2,16,0.47023865531706444,0.00016334587611069497,0.9162499904632568
3,64,0.41126270037994017,0.04074144654166233,0.5074999928474426
4,16,0.4122116705145822,0.00022637229697395497,0.9150000214576721
5,64,0.3087393287000287,0.0017538232373118048,0.4925000071525574
6,32,0.3273735795474594,0.00011385953381489422,0.9275000095367432
7,16,0.4774992314058497,0.011103525577197588,0.5074999928474426
8,64,0.12409018865170794,0.01000691351354558,0.4925000071525574
9,16,0.22617134036967357,0.0012334805700860026,0.9087499976158142
10,32,0.22998545442086343,0.00011542675973617465,0.9049999713897705
11,32,0.38380977206444716,0.0003236383799376257,0.9037500023841858
12,16,0.3671644303772052,0.00010943262960295856,0.9225000143051147
13,32,0.35283517070071335,0.00047235589797507693,0.9262499809265137
14,32,0.3378518720180477,0.000436237482168284,0.9312499761581421
15,32,0.2647482234383711,0.0004458894960016091,0.9112499952316284
16,32,0.2855624072001981,0.0005870164563901172,0.9112499952316284
17,32,0.3359810986998845,0.00010104199916189023,0.9300000071525574
18,32,0.419012140487087,0.00023777120934057104,0.9262499809265137
19,32,0.3455844222318826,0.0007496198542579512,0.9087499976158142
